symbol,token,exchange
Nifty 50,99926000,NSE
Nifty GrowSect 15,99926001,NSE
Nifty50 PR 2x Lev,99926002,NSE
Nifty 500,99926004,NSE
Nifty IT,99926008,NSE
Nifty Bank,99926009,NSE
NIFTY MIDCAP 100,99926011,NSE
Nifty 100,99926012,NSE
Nifty Next 50,99926013,NSE
Nifty Midcap 50,99926014,NSE
HangSeng BeES-NAV,99926016,NSE
India VIX,99926017,NSE
Nifty Realty,99926018,NSE
Nifty Infra,99926019,NSE
Nifty Energy,99926020,NSE
Nifty FMCG,99926021,NSE
Nifty MNC,99926022,NSE
Nifty Pharma,99926023,NSE
Nifty PSE,99926024,NSE
Nifty PSU Bank,99926025,NSE
Nifty Serv Sector,99926026,NSE
Nifty Auto,99926029,NSE
Nifty Metal,99926030,NSE
Nifty Media,99926031,NSE
NIFTY SMLCAP 100,99926032,NSE
Nifty 200,99926033,NSE
Nifty Div Opps 50,99926034,NSE
Nifty Commodities,99926035,NSE
Nifty Consumption,99926036,NSE
Nifty Fin Service,99926037,NSE
Nifty50 Div Point,99926038,NSE
Nifty100 Liq 15,99926040,NSE
Nifty CPSE,99926041,NSE
Nifty50 PR 1x Inv,99926042,NSE
Nifty50 TR 2x Lev,99926043,NSE
Nifty50 TR 1x Inv,99926044,NSE
Nifty50 Value 20,99926045,NSE
Nifty Mid Liq 15,99926046,NSE
Nifty Pvt Bank,99926047,NSE
NIFTY100 Qualty30,99926048,NSE
Nifty GS 8 13Yr,99926049,NSE
Nifty GS 10Yr,99926050,NSE
Nifty GS 10Yr Cln,99926051,NSE
Nifty GS 4 8Yr,99926052,NSE
Nifty GS 11 15Yr,99926053,NSE
Nifty GS 15YrPlus,99926054,NSE
Nifty GS Compsite,99926055,NSE
NIFTY50 EQL Wgt,99926056,NSE
NIFTY100 EQL Wgt,99926057,NSE
NIFTY100 LowVol30,99926058,NSE
NIFTY Alpha 50,99926059,NSE
NIFTY MIDCAP 150,99926060,NSE
NIFTY SMLCAP 50,99926061,NSE
NIFTY SMLCAP 250,99926062,NSE
NIFTY MIDSML 400,99926063,NSE
NIFTY200 QUALTY30,99926064,NSE
NIFTY MID SELECT,99926074,NSE
FACT-EQ,1008,NSE
765GJ29-SG,10233,NSE
NGLFINE-EQ,10277,NSE
KCK-ST,10296,NSE
778ML31-SG,10330,NSE
781HR32A-SG,10331,NSE
SHAREINDIA-EQ,104,NSE
FINCABLES-EQ,1038,NSE
MUTHOOTCAP-EQ,10415,NSE
781HR32B-SG,10461,NSE
781RJ32-SG,10462,NSE
774MZ33-SG,10540,NSE
784TS36-SG,10545,NSE
NAVKARCORP-EQ,10557,NSE
MOM30IETF-EQ,10585,NSE
795TS37-SG,10642,NSE
796AP40-SG,10643,NSE
793RJ45-SG,10645,NSE
774AP31-SG,10647,NSE
UNIONBANK-EQ,10753,NSE
MOQUALITY-EQ,10822,NSE
66UP30-SG,1086,NSE
KORE-SM,10889,NSE
DBOL-EQ,10893,NSE
675KA34-SG,1092,NSE
758AP40-SG,10911,NSE
745BR32-SG,10956,NSE
746TS48-SG,10964,NSE
745SK32-SG,10966,NSE
MEGAFLEX-SM,10971,NSE
RADICO-EQ,10990,NSE
ISHAN-SM,10995,NSE
UCOBANK-EQ,11223,NSE
771AP34-SG,11281,NSE
765RJ32A-SG,11288,NSE
768WB32-SG,11291,NSE
UNIENTER-EQ,11293,NSE
76AP28-SG,11299,NSE
BALAXI-EQ,11309,NSE
87SCL27-Z6,11356,NSE
MAHABANK-EQ,11377,NSE
GICHSGFIN-EQ,1139,NSE
GLAXO-EQ,1153,NSE
BANKBEES-EQ,11439,NSE
783HR32-SG,11507,NSE
TEXINFRA-EQ,11549,NSE
77MH30-SG,11590,NSE
781UP34-SG,11603,NSE
ASTRAMICRO-EQ,11618,NSE
WELENT-EQ,11626,NSE
66PN30-SG,1165,NSE
BOHRAIND-EQ,11640,NSE
789TS36-SG,11696,NSE
786AP33-SG,11759,NSE
783PN42-SG,11769,NSE
78KL45-SG,11770,NSE
GOKEX-EQ,11778,NSE
EVEREADY-EQ,11782,NSE
HPIL-EQ,11796,NSE
ALLDIGI-EQ,11798,NSE
SUKHJITS-EQ,11804,NSE
SSWL-EQ,11829,NSE
CYBERMEDIA-BE,11845,NSE
89SCL24A-ZM,11857,NSE
YESBANK-EQ,11915,NSE
SEMAC-BE,11964,NSE
RML-EQ,11975,NSE
BASML-BE,12037,NSE
SCPL-EQ,12072,NSE
739ML26-SG,12289,NSE
GRASIM-EQ,1232,NSE
77HR34-SG,12303,NSE
67JK32-SG,1253,NSE
744HR27-SG,12657,NSE
MBAPL-EQ,12686,NSE
DJML-EQ,12749,NSE
676MP40-SG,1012,NSE
SHYAMCENT-BE,10192,NSE
793TS34-SG,10204,NSE
795AP38-SG,10214,NSE
795AP40A-SG,10255,NSE
79HR34-SG,10332,NSE
794PN42-SG,10333,NSE
803AP36-SG,10355,NSE
78GJ32A-SG,10367,NSE
KSHITIJPOL-EQ,10407,NSE
UFLEX-EQ,1053,NSE
MOHEALTH-EQ,10508,NSE
765BR32-SG,10529,NSE
LOYALTEX-EQ,10590,NSE
GUJENERGY-EQ,10599,NSE
754AS28-SG,10646,NSE
777HR32-SG,10652,NSE
726GS2032-GS,10722,NSE
FOSECOIND-EQ,1073,NSE
ZENSARTECH-EQ,1076,NSE
774TS45-SG,10783,NSE
753AS32-SG,10906,NSE
758AP42-SG,10913,NSE
75HP37-SG,10961,NSE
SIRCA-EQ,11050,NSE
JSL-EQ,11236,NSE
749GJ26-SG,11273,NSE
769BR32-SG,11282,NSE
TVSELECT-EQ,11265,NSE
865SCL24B-Z8,11365,NSE
TIPSFILMS-EQ,11374,NSE
776MH30-SG,11390,NSE
779TN32-SG,11405,NSE
RKFORGE-EQ,11411,NSE
783TS36-SG,11415,NSE
CCL-EQ,11452,NSE
785PN42-SG,11515,NSE
ULTRACEMCO-EQ,11532,NSE
TCS-EQ,11536,NSE
PPLPHARMA-EQ,11571,NSE
773BR32-SG,11598,NSE
DWARKESH-EQ,11667,NSE
79NHIT47-N3,11669,NSE
778MH30-SG,11678,NSE
OMFURN-SM,117,NSE
793WB37-SG,11698,NSE
JSWSTEEL-EQ,11723,NSE
JINDALPHOT-EQ,11743,NSE
750IRFC35-NK,11757,NSE
775AP29-SG,11760,NSE
MANGALAM-EQ,11817,NSE
PRIMESECU-EQ,11864,NSE
785HP36-SG,11870,NSE
787HP34-SG,11886,NSE
767AS32-SG,11980,NSE
76NHAI31-NA,12003,NSE
RUSTOMJEE-EQ,12219,NSE
77BR32-SG,12300,NSE
769GA32A-SG,12301,NSE
763TS43-SG,12321,NSE
763TN47-SG,12345,NSE
666KA32-SG,1248,NSE
AAATECH-EQ,12533,NSE
757HR30-SG,12664,NSE
76GJ32-SG,12667,NSE
PRITIKA-SM,12971,NSE
360ONE-EQ,13061,NSE
VIMTALABS-EQ,13101,NSE
763HP37-SG,13127,NSE
763KA40-SG,13134,NSE
ENIL-EQ,13192,NSE
GVKPIL-BE,13229,NSE
76KA32-SG,13245,NSE
BLKASHYAP-EQ,13290,NSE
VARDHACRLC-BE,13403,NSE
NITCO-EQ,13300,NSE
763PY32-SG,13382,NSE
BHAGERIA-BE,13427,NSE
KELLTONTEC-EQ,13430,NSE
939SCL27-ZZ,13492,NSE
GMRAIRPORT-EQ,13528,NSE
64AP28-SG,1362,NSE
SGBDE30III-GB,13642,NSE
HINDCOMPOS-EQ,1372,NSE
DUCOL-SM,13766,NSE
BAIDFIN-EQ,13794,NSE
KAMOPAINTS-EQ,13814,NSE
CREST-EQ,13900,NSE
77HP38-SG,13901,NSE
766WB39-SG,13906,NSE
656KA30-SG,14,NSE
763GJ32-SG,13916,NSE
765GJ33-SG,13964,NSE
HYBRIDFIN-BE,12814,NSE
LUMAXTECH-EQ,14014,NSE
980SFIL28-NL,14032,NSE
1030SFIL28-NM,14034,NSE
SARVESHWAR-EQ,12913,NSE
DHARMAJ-EQ,13001,NSE
SAFARI-EQ,13035,NSE
NAHARINDUS-EQ,13106,NSE
74ML27-SG,13118,NSE
COMMOIETF-EQ,13198,NSE
767WB37-SG,13237,NSE
767JH37-SG,13257,NSE
SOLARINDS-EQ,13332,NSE
757GJ31-SG,13369,NSE
SGL-EQ,13367,NSE
HEROMOTOCO-EQ,1348,NSE
ELIN-EQ,13423,NSE
AKASH-EQ,13510,NSE
RBMINFRA-SM,13570,NSE
ANTELOPUS-EQ,13598,NSE
764GA38-SG,13619,NSE
SKYGOLD-EQ,13631,NSE
66MN30-SG,1368,NSE
HCC-EQ,1375,NSE
INSPIRISYS-BE,13734,NSE
757GJ32-SG,13773,NSE
668AP33-SG,1378,NSE
TORNTPOWER-EQ,13786,NSE
674TS50-SG,1386,NSE
JINDRILL-EQ,13875,NSE
ARISTO-SM,13926,NSE
766AP32-SG,13958,NSE
769AS33-SG,13959,NSE
768TS42-SG,13993,NSE
SANGHVIMOV-EQ,14058,NSE
GLOBAL-EQ,1415,NSE
755TN53-SG,14117,NSE
771AS33-SG,14160,NSE
766UP33-SG,14162,NSE
762MN35-SG,14165,NSE
NINSYS-EQ,14194,NSE
TIIL-EQ,14223,NSE
HDFCMID150-EQ,14236,NSE
TVSSRICHAK-EQ,14245,NSE
771AP33-SG,14270,NSE
765HR33A-SG,14272,NSE
ORIENTBELL-EQ,14278,NSE
